Date,ADBE - Adobe,AMD - AMD,AMZN - Amazon,CSCO - Cisco,GOOGL - Google,INTC - Intel,MSFT - Microsoft,NFLX - Netflix,NVDA - Nvidia,SBUX - Starbucks,TSLA - Tesla
8/4/1980,,4.3125,,,,0.44140625,,,,,
8/5/1980,,4.364583492,,,,0.444010407,,,,,
8/6/1980,,4.239583492,,,,0.440104157,,,,,
8/7/1980,,4.21875,,,,0.4453125,,,,,
8/8/1980,,4.270833492,,,,0.451822907,,,,,
8/11/1980,,4.416666508,,,,0.48046875,,,,,
8/12/1980,,4.354166508,,,,0.481770843,,,,,
8/13/1980,,4.270833492,,,,0.47265625,,,,,
8/14/1980,,4.385416508,,,,0.47265625,,,,,
8/15/1980,,4.333333492,,,,0.466145843,,,,,
8/18/1980,,4.104166508,,,,0.453125,,,,,
8/19/1980,,3.947916746,,,,0.446614593,,,,,
8/20/1980,,4.166666508,,,,0.455729157,,,,,
8/21/1980,,4.416666508,,,,0.4609375,,,,,
8/22/1980,,4.5625,,,,0.463541657,,,,,
8/25/1980,,4.520833492,,,,0.463541657,,,,,
8/26/1980,,4.635416508,,,,0.463541657,,,,,
8/27/1980,,4.479166508,,,,0.462239593,,,,,
8/28/1980,,4.375,,,,0.458333343,,,,,
8/29/1980,,4.270833492,,,,0.455729157,,,,,
9/2/1980,,4.239583492,,,,0.462239593,,,,,
9/3/1980,,4.4375,,,,0.4765625,,,,,
9/4/1980,,4.479166508,,,,0.48046875,,,,,
9/5/1980,,4.53125,,,,0.477864593,,,,,
9/8/1980,,4.302083492,,,,0.46484375,,,,,
9/9/1980,,4.354166508,,,,0.466145843,,,,,
9/10/1980,,4.416666508,,,,0.4609375,,,,,
9/11/1980,,4.5,,,,0.463541657,,,,,
9/12/1980,,4.395833492,,,,0.462239593,,,,,
9/15/1980,,4.3125,,,,0.45703125,,,,,
9/16/1980,,4.5,,,,0.470052093,,,,,
9/17/1980,,4.677083492,,,,0.490885407,,,,,
9/18/1980,,4.739583492,,,,0.4921875,,,,,
9/19/1980,,5.03125,,,,0.49609375,,,,,
9/22/1980,,5.25,,,,0.48828125,,,,,
9/23/1980,,5.427083492,,,,0.470052093,,,,,
9/24/1980,,5.708333492,,,,0.46484375,,,,,
9/25/1980,,5.572916508,,,,0.459635407,,,,,
