Date,Gold price / OZ,Silver price / OZ,Platinum price / OZ
4/30/2009,889,12.63,1111
5/1/2009,881.5,12.15,1096
6/1/2009,987,15.86,1218
6/30/2009,941,13.94,1196
7/1/2009,931.5,13.65,1176
7/30/2009,932,13.4,1172
8/3/2009,954.25,14.29,1210
9/1/2009,949.75,14.74,1249
9/30/2009,1001.25,16.45,1283
10/1/2009,1005.75,16.55,1294
10/30/2009,1044.5,16.57,1328
11/2/2009,1052,16.58,1334
11/30/2009,1172,18.14,1440
12/1/2009,1193.5,18.72,1468
12/30/2009,1092.5,16.92,1464
1/4/2010,1113,17.17,1496
2/1/2010,1082,16.23,1516
3/1/2010,1117.25,16.5,1554
3/30/2010,1109.75,17.41,1627
4/1/2010,1116,17.69,1659
4/30/2010,1175.25,18.62,1737
5/4/2010,1184.25,18.71,1720
6/1/2010,1219.75,18.3,1544
6/30/2010,1240.5,18.74,1533
7/1/2010,1240,18.65,1518
7/30/2010,1168,17.66,1555
8/2/2010,1178,18.11,1586
8/31/2010,1233.5,18.87,1513
9/1/2010,1250,19.47,1528
9/30/2010,1311,22.07,1650
10/1/2010,1313,21.95,1669
11/1/2010,1361.5,24.91,1718
11/30/2010,1375,27.13,1651
12/1/2010,1391.5,28.74,1673
12/30/2010,1411.5,30.7,1760
1/4/2011,1405.5,30.67,1768
1/31/2011,1333.5,27.75,1789
2/1/2011,1337.5,28.32,1808
3/1/2011,1414.5,34.37,1809
3/30/2011,1419,37.53,1752
4/1/2011,1434.5,37.63,1779
5/3/2011,1546.5,43.61,1858
5/31/2011,1537,38.65,1821
6/1/2011,1532.25,37.95,1819
6/30/2011,1508,35.02,1724
7/1/2011,1492.75,33.85,1703
8/1/2011,1613.5,39.31,1796
8/30/2011,1791,40.9,1830
9/1/2011,1815.5,41.47,1850
9/30/2011,1629,30.45,1538
10/3/2011,1660,31.05,1520
10/31/2011,1718,34.24,1606
11/1/2011,1702,32.97,1581
11/30/2011,1704,31.35,1515
12/1/2011,1750,33.28,1552
12/30/2011,1574.5,28.18,1381
1/3/2012,1590,28.78,1408
1/30/2012,1720.5,33.18,1601
2/1/2012,1744,33.8,1611
3/1/2012,1721,34.56,1692
3/30/2012,1660.75,32.43,1643
4/2/2012,1664,32.42,1636
4/30/2012,1662.5,31.2,1574
5/1/2012,1661.25,30.78,1563
5/30/2012,1548.75,27.68,1413
6/1/2012,1552.5,27.38,1396
7/2/2012,1596.25,27.36,1442
7/30/2012,1616.5,27.64,1398
8/1/2012,1614.75,27.87,1412
8/30/2012,1657,30.66,1524
9/3/2012,1686,31.74,1543
10/1/2012,1770.5,34.35,1658
10/30/2012,1713.5,31.98,1548
11/1/2012,1723.25,32.66,1573
11/30/2012,1728.25,34.28,1617
12/3/2012,1718,33.42,1599
12/31/2012,1664,29.95,1523
1/2/2013,1681.5,30.87,1559
1/30/2013,1666.25,31.35,1686
2/1/2013,1665,31.43,1672
3/1/2013,1570,28.01,1565
4/2/2013,1597.75,27.96,1592
4/30/2013,1472.75,24.42,1513
5/1/2013,1469.5,23.97,1500
5/30/2013,1406.25,22.68,1462
6/3/2013,1396.75,22.43,1466
7/1/2013,1243.5,19.44,1350
7/30/2013,1322.25,19.68,1436
8/1/2013,1323.75,19.72,1436
8/30/2013,1392.75,23.64,1511
9/2/2013,1391.25,23.97,1527
9/30/2013,1335.75,21.68,1422
10/1/2013,1332.25,21.7,1407
10/30/2013,1349.5,22.74,1467
11/1/2013,1314.75,21.75,1456
12/2/2013,1237.5,19.75,1364
12/30/2013,1201.5,19.65,1363
1/2/2014,1219.75,19.94,1387
1/30/2014,1254,19.41,1397
2/3/2014,1246.5,19.27,1386
3/3/2014,1344.25,21.46,1452
3/31/2014,1294,19.97,1422
4/1/2014,1286.5,19.8,1424
4/30/2014,1292,19.28,1421
5/1/2014,1283,19.06,1417
5/30/2014,1254,19,1457
6/2/2014,1244.75,18.81,1440
6/30/2014,1313,20.87,1481
7/1/2014,1325.75,21.08,1486
7/30/2014,1297.5,20.54,1483
8/1/2014,1284.5,20.34,1461
9/1/2014,1287.25,19.49,1424
9/30/2014,1210,17.11,1307
10/1/2014,1208.5,17.04,1274
10/30/2014,1205.75,16.78,1253
11/3/2014,1170.75,16.15,1237
12/1/2014,1178.75,15.73,1198
12/30/2014,1186.5,15.79,1207
1/2/2015,1184.25,15.71,1208
1/30/2015,1263.5,16.92,1230
2/2/2015,1274.25,17.22,1226
3/2/2015,1216.75,16.63,1182
3/30/2015,1187.4,16.65,1129
4/1/2015,1181.25,16.56,1136
4/30/2015,1204.3,16.52,1154
5/1/2015,1179,16.17,1139
6/1/2015,1187.3,16.61,1107
6/30/2015,1175,15.7,1083
7/1/2015,1171.7,15.63,1085
7/30/2015,1085.65,14.64,985
8/3/2015,1093,14.73,977
9/1/2015,1141.9,14.68,1008
9/30/2015,1122.5,14.65,924
10/1/2015,1114.2,14.55,
10/30/2015,1147.75,15.63,994
11/2/2015,1135.8,15.4,974
11/30/2015,1055.65,14.08,829
12/1/2015,1069.25,14.21,842
12/30/2015,1067.8,13.82,888
1/4/2016,1072.7,14,878
2/1/2016,1122,14.33,865
3/1/2016,1240,14.99,938
3/30/2016,1238.2,15.38,970
4/1/2016,1232.1,15.38,982
5/3/2016,1296.5,17.49,1084
5/31/2016,1210.5,16.06,977
6/1/2016,1216.25,15.95,974
6/30/2016,1317,18.36,1004
7/1/2016,1331.75,19.24,1033
8/1/2016,1348.85,20.51,1150
8/30/2016,1318.85,18.78,1076
9/1/2016,1305.7,18.65,1051
9/30/2016,1327.9,19.35,1031
10/3/2016,1318.65,19.18,1020
10/31/2016,1274.2,17.76,979
11/1/2016,1284.4,18.24,983
11/30/2016,1187.4,16.67,918
12/1/2016,1168.75,16.3,903
12/30/2016,1159.1,16.24,907
1/3/2017,1148.65,15.95,906
1/30/2017,1189.85,17.1,978
2/1/2017,1210,17.6,996
3/1/2017,1246.05,18.33,1027
3/30/2017,1250.9,18.1,956
4/3/2017,1246.25,18.16,953
5/2/2017,1255.8,16.95,935
5/30/2017,1262.8,17.27,946
6/1/2017,1266.15,17.13,943
6/30/2017,1243.25,16.47,921
7/3/2017,1235.2,16.48,919
7/31/2017,1266.35,16.76,935
8/1/2017,1267.05,16.74,943
8/30/2017,1310.6,17.44,991
9/1/2017,1318.4,17.5,997
9/30/2017,1283.1,16.86,920
10/2/2017,1273.1,16.58,913
10/30/2017,1272.75,16.74,919
11/1/2017,1279.25,16.94,927
11/30/2017,1282.15,16.57,941
12/1/2017,1277.25,16.42,941
12/31/2017,1296.5,16.87,927
1/2/2018,1312.8,17.06,937
1/30/2018,1345.7,17.3,998
2/1/2018,1341.1,17.19,997
3/1/2018,1311.25,16.32,972
3/31/2018,1323.85,16.28,936
4/3/2018,1336.6,16.52,934
4/30/2018,1316.25,16.38,907
5/1/2018,1309.2,16.25,900
5/30/2018,1298.6,16.37,906
6/1/2018,1299.15,16.42,910
6/30/2018,1250.45,16.03,851
7/2/2018,1249,15.98,842
7/30/2018,1222.05,15.49,824
8/1/2018,1222.75,15.48,830
8/30/2018,1202.35,14.66,791
9/3/2018,1201.7,14.52,787
10/1/2018,1185.3,14.55,813
10/30/2018,1220,14.42,833
11/1/2018,1223.25,14.45,848
11/30/2018,1220.45,14.24,810
12/3/2018,1231.05,14.38,811
12/31/2018,1281.65,15.46,794
1/2/2019,1287.2,15.44,796
1/30/2019,1312.95,15.92,816
2/1/2019,1320.75,16.01,822
3/1/2019,1309.95,15.56,862
4/1/2019,1291.9,15.07,848
4/30/2019,1285.15,14.98,898
5/1/2019,1281.8,14.88,881
5/30/2019,1276.45,14.4,792
6/3/2019,1313.95,14.7,797
7/1/2019,1390.05,15.26,833
7/30/2019,1428.45,16.45,881
8/1/2019,1406.4,16,852
8/30/2019,1526.55,18.39,935
9/2/2019,1523.35,18.35,936
9/30/2019,1487.6,17.26,925
10/1/2019,1466.1,17.11,881
10/30/2019,1490.15,17.95,921
11/1/2019,1509.85,18.12,932
12/2/2019,1457.5,16.88,895
12/30/2019,1511.5,17.82,
1/2/2020,1520.55,17.92,981
1/30/2020,1580.4,17.73,971
2/3/2020,1578.85,17.77,952
3/1/2020,1595.99,17,885.24
3/30/2020,1634.65,14.46,752.65
4/1/2020,1585.39,14.03,725.33
4/30/2020,1720.59,15.34,788.3
5/1/2020,1694.65,15.03,782.8
5/30/2020,1739.7,18.03,861.59
6/1/2020,1746,18.15,859.07
6/30/2020,1778.76,17.92,825.66
7/1/2020,1788.68,18.27,838.6
7/30/2020,1972.99,24.33,941.46
8/1/2020,1987.73,24.8,929.89
8/30/2020,1975.92,27.63,935.8
9/1/2020,1974.2,28.24,939.61
9/30/2020,1902.88,24.35,890.69
10/1/2020,1893.8,23.45,901.04
10/30/2020,1874.35,23.39,856.93
11/1/2020,1887.65,23.79,857.56
11/30/2020,1792.4,22.74,975.44
12/1/2020,1784.46,22.75,974.76
12/30/2020,1884.74,26.27,1059.67
1/1/2021,1904.56,26.53,1082.02
1/30/2021,1857.51,27.18,1087.25
2/1/2021,1862.12,29.1,1098.89
3/1/2021,1744.78,26.9,1210.17
3/30/2021,1717.38,24.76,1182.8
4/1/2021,1712.86,24.52,1194.11
4/30/2021,1778.78,26.19,1214.22
5/1/2021,1778.56,26.1,1214.87
5/30/2021,1912.72,28.08,1193.58
6/1/2021,1916.29,28.21,1201.86
6/30/2021,1766.97,25.89,1077.19
7/1/2021,1773.69,26.18,1073.84
7/30/2021,1835.94,25.61,1064.07
8/1/2021,1821.95,25.63,1060.18
8/30/2021,1824.13,24.16,1019.68
9/1/2021,1820.09,23.98,1019.76
9/30/2021,1734.09,21.63,961.38
10/1/2021,1758.49,22.17,967.4
10/30/2021,1793.24,24.06,1042.29
11/1/2021,1785.57,23.85,1025
11/30/2021,1792.29,23.01,972.14
12/1/2021,1778.76,22.87,943.58
12/30/2021,1810.06,22.9,972.82
1/1/2022,1839.22,23.47,1017.09
1/30/2022,1798.38,22.57,1018.05
2/1/2022,1803.3,22.55,1026.37
3/1/2022,1912.87,24.5,1049.66
3/30/2022,1922.29,24.82,990.46
4/1/2022,1942.67,24.88,989.76
4/30/2022,1907.15,22.95,946.53
5/1/2022,1906.7,22.89,947.84
5/30/2022,1855.63,22.11,959.56
6/1/2022,1841.95,21.61,971.71
6/30/2022,1823.88,20.79,924.47
7/1/2022,1812.2,20.33,901.96
7/30/2022,1775.32,20.5,908.43
8/1/2022,1767.65,20.29,897.72
8/30/2022,1744.89,18.86,872.61
9/1/2022,1713.01,17.9,847.23
9/30/2022,1669.73,18.97,874.01
10/1/2022,1669.38,19.17,871.83
10/30/2022,1653.95,19.36,957.87
11/1/2022,1637.55,19.23,933.35
11/30/2022,1754.42,21.29,1009.18
12/1/2022,1778.9,22.42,1047
12/30/2022,1820.68,23.95,1057.61
1/1/2023,1833.48,24.07,1083.24
1/30/2023,1934.84,23.72,1023
2/1/2023,1929.43,23.71,1015.23
3/1/2023,1827.54,20.91,955.18
3/30/2023,1965.29,23.34,970.64
4/1/2023,1974.97,24.17,1001
4/30/2023,1995.99,25.13,1086.09
5/1/2023,1988.69,25,1075.1
5/30/2023,1941.8,23.15,1031.49
6/1/2023,1966.53,23.55,1002.12
6/30/2023,1908.97,22.6,904.26
7/1/2023,1921.63,22.8,916.79
7/30/2023,1962.05,24.33,949.94
8/1/2023,1964.13,24.75,955.65
8/30/2023,1936.47,24.73,982.11
9/1/2023,1940.23,24.44,973.91
9/30/2023,1851.05,22.22,918.62
10/1/2023,1851.05,22.22,918.62
10/30/2023,2004.98,23.08,906.63
11/1/2023,1982.84,22.74,934.47
11/30/2023,2047.24,24.99,935.86
12/1/2023,2042.27,25.39,934.11
12/30/2023,2068.1,23.87,1001.3
1/1/2024,2068.1,23.87,1001.3
1/30/2024,2033.51,23.23,933.06
2/1/2024,2042.21,22.94,924.28
3/1/2024,2046.2,22.69,882.86
3/30/2024,2238.24,25.08,920.15
4/1/2024,2247.73,25.19,914.55
4/30/2024,2335.3,27.11,954.28
5/1/2024,2294.31,26.37,939.45
5/30/2024,2340.71,32.07,1041.04
6/1/2024,2331.54,30.48,1051.41
6/30/2024,2330.75,29.21,1010.08
7/1/2024,2326.44,29.12,998.26
7/17/2024,2485.75,,
7/30/2024,2384.17,27.86,953.87
